Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot67,"clmove",hard,6,Active,"Conference Room","Conference Room: Objective #3","1","20:00:41","N/A",
Bot66,"snapple",easy,19,Failed,"Boss Hunter (pmcBot)","Spawn Point (-213.12 0.05 -378.76)","1","20:00:41","20:01:38",
Bot68,"Katto",hard,20,Failed,"Beneath The Streets","Zone Dome","1","20:00:41","20:03:07",
Bot69,"dav1dct",easy,19,Active,"Boss Hunter (pmcBot)","Spawn Point (-183.65 2.71 -227.12)","1","20:00:41","N/A",
Bot70,"Lavax",hard,18,Failed,"Boss Hunter (pmcBot)","Spawn Point (-199.41 4.13 -296.50)","1","20:00:41","20:02:07",
Bot71,"Sanote",easy,15,Failed,"Red Room","Red Room: Objective #1","1","20:00:42","20:01:22",
Bot72,"wizard83",hard,17,Failed,"Violet Room","Violet Room: Objective #1","1","20:00:42","20:00:46",
Bot73,"Drill",easy,22,Failed,"Conference Room","Conference Room: Objective #4","1","20:00:42","20:00:56",
