Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot13,"Conqueror_Alex",normal,19,Failed,"Containment Block Security Office","Containment Block Security Office: Objective #1","1","22:46:47","22:49:04",
Bot14,"doom",hard,16,Failed,"Beneath The Streets","Zone Control_room","1","22:46:48","22:47:36",
Bot15,"Wrecker",hard,3,Active,"Medical Block Elevator Power Switch","Medical Block Elevator Power Switch: Objective #1","1","22:46:48","N/A",
Bot16,"MacrossMX7167",hard,14,Failed,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #4","1","22:46:48","22:47:59",
Bot18,"joshj5Hawk",hard,9,Pending,"Security Office","Security Office: Objective #2","1","22:46:48","N/A",
Bot17,"Revingly",hard,12,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","22:46:48","22:48:22",
Bot19,"nooky",normal,17,Failed,"Containment Block Security Office","Containment Block Security Office: Objective #1","1","22:46:48","22:46:51",
