Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot30,"Ilhsiek",normal,14,Active,"Conference Room","Conference Room: Objective #3","1","23:04:30","N/A",
Bot29,"aleves",normal,18,Completed,"Parking","Parking: Objective #3","1","23:04:30","23:05:02",
Bot29,"aleves",normal,18,Completed,"Parking","Parking: Objective #1","1","23:05:07","23:05:18",
Bot29,"aleves",normal,18,Pending,"Parking","Parking: Objective #2","1","23:05:23","N/A",
Bot32,"PhantomInTime",hard,18,Active,"Beneath The Streets","Zone Server_room","1","23:04:30","N/A",
Bot33,"HB",normal,17,Active,"Containment Block Bedroom","Containment Block Bedroom: Objective #1","1","23:04:31","N/A",
Bot34,"TROMBON",normal,7,Pending,"Sample IV - A New Hope","Item Vaccine sample IV","1","23:04:31","N/A",
Bot31,"yojenkz",normal,13,Failed,"Beneath The Streets","Zone Dome","1","23:04:31","23:06:43",
Bot35,"MedDeatH",normal,9,Failed,"Sample IV - A New Hope","Item Vaccine sample IV","1","23:04:32","23:06:01",
