Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot90,"Ngst",normal,17,Failed,"Containment Block Security Office","Containment Block Security Office: Objective #1","1","20:13:40","20:15:52",
Bot93,"SamSWAT",normal,19,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","20:13:40","20:14:23",
Bot91,"Hupfi",hard,19,Active,"Beneath The Streets","Zone Server_room","1","20:13:40","N/A",
Bot94,"DanW",normal,5,Completed,"Server Room Drop-Down Area","Server Room Drop-Down Area: Objective #1","1","20:13:41","20:14:00",
Bot94,"DanW",normal,5,Failed,"Server Room NW Stairs","Server Room NW Stairs: Objective #1","1","20:14:05","20:17:37",
Bot92,"openingspark860",easy,14,Failed,"Board Room","Board Room: Objective #2","1","20:13:41","20:15:40",
Bot95,"Aethas",easy,9,Failed,"Cafeteria","Cafeteria: Objective #2","1","20:13:41","20:15:01",
Bot97,"dvize",normal,15,Failed,"Boss Hunter (pmcBot)","Spawn Point (-275.25 0.08 -381.10)","1","20:13:41","20:14:02",
Bot96,"Derpstar95",easy,16,Failed,"Weapons Testing Area Room","Weapons Testing Area Room: Objective #1","1","20:13:41","20:16:11",
