Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot80,"numberdjester",hard,19,Failed,"Containment Block Power Switch","Containment Block Power Switch: Objective #1","1","20:06:05","20:07:51",
Bot81,"Ayre",normal,12,Failed,"Beneath The Streets","Zone Control_room","1","20:06:05","20:10:01",
Bot82,"Hupfi",normal,7,Failed,"Conference Room","Conference Room: Objective #4","1","20:06:05","20:09:02",
Bot83,"The_Antman",hard,19,Failed,"Containment Block Bedroom","Containment Block Bedroom: Objective #1","1","20:06:05","20:07:04",
Bot85,"TheSparta",normal,3,Failed,"Radical Treatment","Zone Halloween_zone_for_antivirus(lab)","1","20:06:06","20:08:22",
Bot84,"craink",normal,13,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #2","1","20:06:06","20:07:58",
Bot86,"dvize",hard,21,Failed,"Boss Hunter (pmcBot)","Spawn Point (-178.15 0.11 -415.29)","1","20:06:06","20:06:41",
