Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Stealthsuit",normal,15,Failed,"Conference Room","Conference Room: Objective #4","1","22:38:30","22:40:32",
Bot1,"InternalError_",easy,19,Failed,"Boss Hunter (pmcBot)","Spawn Point (-183.65 2.71 -227.12)","1","22:38:30","22:42:59",
Bot2,"Lavax",normal,19,Active,"Cafeteria","Cafeteria: Objective #2","1","22:38:30","N/A",
Bot4,"PenOkOh",normal,13,Pending,"Admin Office","Admin Office: Objective #1","1","22:38:31","N/A",
Bot6,"The_Antman",normal,11,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","22:38:31","22:38:42",
Bot5,"RomanxTheLast",easy,15,Pending,"Boss Hunter (pmcBot)","Spawn Point (-183.65 2.71 -227.12)","1","22:38:31","N/A",
Bot7,"KokaZ93",easy,18,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","22:38:31","22:38:44",
