Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"jennacide",hard,19,Failed,"Conference Room","Conference Room: Objective #3","1","21:01:59","21:12:29",
Bot17,"Priv_P",hard,16,Failed,"Admin Office","Admin Office: Objective #3","1","21:01:59","21:04:16",
Bot16,"Oraceon",easy,17,Failed,"Boss Hunter (pmcBot)","Spawn Point (-157.21 2.71 -227.04)","1","21:01:59","21:02:52",
Bot18,"RootsNine",hard,12,Failed,"Security Office","Security Office: Objective #2","1","21:01:59","21:12:55",
Bot19,"Bulld0z3r",hard,8,Failed,"Gym","Gym: Objective #1","1","21:01:59","21:02:14",
Bot20,"beamyy",easy,7,Failed,"Medical Block Elevator Stairwell","Medical Block Elevator Stairwell: Objective #1","1","21:02:00","21:03:01",
Bot21,"bkreporn",easy,14,Failed,"Beneath The Streets","Zone Server_room","1","21:02:00","21:02:07",
