Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot52,"Nightingale",easy,6,Failed,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #5","1","23:12:41","23:18:33",
Bot53,"BrandoTheDev",easy,5,Failed,"Server Room","Server Room: Objective #1","1","23:12:41","23:21:14",
Bot56,"IhanaMies",hard,13,Failed,"Main Working Area East","Main Working Area East: Objective #1","1","23:12:41","23:14:11",
Bot54,"alexkarpen",normal,7,Failed,"The Root Cause","Item TG-Vi-24 sample","1","23:12:42","23:20:53",
Bot55,"Tyrian",hard,15,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","23:12:42","23:13:17",
Bot59,"Kaeno",easy,6,Failed,"Server Room","Server Room: Objective #1","1","23:12:42","23:13:04",
Bot57,"poke123321",normal,8,Failed,"Find the Source","Zone Halloween_closed_places","1","23:12:42","23:19:47",
Bot58,"Acouthyt",hard,4,Failed,"Main Working Area West","Main Working Area West: Objective #2","1","23:12:42","23:13:41",
