Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot31,"theStraxus",hard,12,Failed,"Beneath The Streets","Zone Dome","1","21:27:41","21:29:33",
Bot32,"GopnikWarrior",easy,9,Failed,"Medical Block Elevator Power Switch","Medical Block Elevator Power Switch: Objective #1","1","21:27:41","21:28:57",
Bot30,"Nasc",normal,12,Failed,"Conference Room","Conference Room: Objective #4","1","21:27:41","21:29:43",
Bot33,"Clodan",easy,17,Failed,"Beneath The Streets","Zone Control_room","1","21:27:42","21:30:25",
Bot34,"Carl",hard,17,Failed,"Green Room","Green Room: Objective #7","1","21:27:42","21:29:11",
Bot35,"AGX",normal,19,Failed,"Boss Hunter (pmcBot)","Spawn Point (-213.12 0.05 -378.76)","1","21:27:42","21:31:07",
Bot36,"Sugar",hard,16,Failed,"Beneath The Streets","Zone Dome","1","21:27:42","21:27:51",
Bot37,"Paulov",hard,18,Pending,"Black Room","Black Room: Objective #2","1","21:27:43","N/A",
